,campus,curso,anoingresso,periodoingresso,rendabruta,ira,modalidade,genero,raca,idade,idioma,ficou_tempo_sem_estudar,quantidade_computadores,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,reprovacoes,reprovacoes_por_falta,percentual_carga_horaria_frequentada_mean,carga_horaria_total
27843,cod,licenciatura em ciências agrárias,2018,1,0.0,1.52,licenciatura,m,parda,22,false,false,0.0,pais,não estudou,não estudou,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
20313,sjr,técnico em programação de jogos digitais integrado,2017,1,850.0,8.29,integrado,f,branca,19,false,false,0.0,pai,ensino superior completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
23488,mar,maracanã - curso técnico em meio ambiente integrado,2020,1,1300.0,0.0,integrado,f,parda,15,false,false,0.0,parentes,ensino superior incompleto,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
26133,cch,curso técnico em meio ambiente integrado,2017,1,0.0,7.83,integrado,f,parda,19,false,false,0.0,parentes,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
9504,pfr,técnico em meio ambiente integrado ao ensino médio,2017,1,1000.0,7.77,integrado,f,preta,19,false,false,1.0,tios,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
31887,mtc,técnico em design de móveis integrado tc: t n áre: produção cultural e design,2014,1,800.0,8.02,integrado,f,preta,22,false,false,0.0,parentes,ensino médio incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
21735,sin,santa inês - licenciatura em física,2019,1,1854.0,0.7,licenciatura,m,parda,20,false,false,0.0,pai,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
33728,mtc,engenharia civil,2018,1,954.0,1.34,bacharelado,m,parda,31,false,false,1.0,cônjuge,ensino fundamental incompleto,ensino fundamental incompleto,1.0,casado(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
5944,cln,técnico em administração,2018,1,0.0,8.16,subsequente,f,preta,33,false,false,0.0,cônjuge,alfabetizado,não estudou,1.0,casado(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
11639,cax,caxias - técnico em agropecuária,2017,1,4500.0,5.49,integrado,f,parda,19,false,false,1.0,pais,pós-gradução completa,ensino médio incompleto,0.0,solteiro(a),0,urbano,trabalha com vínculo empregatício,0.0,0.0,0.0,0.0
31162,cnt,técnico em automação industrial,2018,2,500.0,8.75,subsequente,f,preta,23,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental completo,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
12013,cax,caxias - técnico em agroindústria - proeja,2017,1,2973.0,7.86,integrado eja,f,preta,30,false,false,0.0,parentes,ensino fundamental incompleto,ensino fundamental incompleto,2.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
33935,vna,técnico em informática subsequente,2016,2,2437.0,3.11,subsequente,f,parda,27,false,false,1.0,mãe,ensino médio completo,não sei informar,0.0,solteiro(a),1,urbano,não está trabalhando,0.0,0.0,0.0,0.0
29667,mar,técnico em agropecuária - ead,2018,1,890.0,7.73,subsequente,f,parda,33,false,false,0.0,outro,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),1,urbano,serviço público,0.0,0.0,0.0,0.0
6025,cch,curso técnico em meio ambiente integrado,2014,1,730.0,7.62,integrado,m,branca,22,false,false,0.0,parentes,ensino fundamental incompleto,não sei informar,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
16258,mtc,técnico em eletromecânica integrado tc: t n área: controle e processos industriais,2015,1,2057.66,8.93,integrado,m,parda,21,false,false,1.0,pais,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
4266,sjp,sjp - curso técnico em alimentos,2017,1,9.98,8.33,integrado,f,parda,19,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
23537,sin,santa inês - técnico em logística integrado ao ensino médio,2016,1,500.0,8.49,integrado,f,branca,20,false,false,0.0,sozinho,ensino médio completo,não sei informar,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
1498,itz,técnico em química integrado - itz,2016,1,2557.0,0.0,integrado,f,parda,19,false,false,1.0,pais,ensino médio completo,ensino médio incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
25430,cch,curso técnico em meio ambiente integrado,2014,1,1500.0,7.73,integrado,f,parda,22,false,false,0.0,pais,ensino médio incompleto,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
22696,itz,técnico em automação industrial subsequente - itz,2018,1,2000.0,9.25,subsequente,m,parda,26,true,false,0.0,cônjuge,ensino fundamental incompleto,ensino fundamental incompleto,1.0,casado(a),1,urbano,trabalha com vínculo empregatício,0.0,0.0,0.0,0.0
11364,mtc,técnico em eletrotécnica integrado tc: área: controle e processos industriais (campus são luís monte castelo),2013,1,0.0,7.42,integrado,m,parda,24,true,false,1.0,pais,ensino médio completo,ensino médio completo,2.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
19763,cod,codó - técnico em informática integrado ao ensino médio,2015,1,0.0,0.0,integrado,m,preta,20,true,false,0.0,pais,ensino médio completo,ensino fundamental completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
14375,gra,técnico em administração integrado ao ensino médio,2017,1,500.0,8.63,integrado,f,parda,19,false,false,0.0,mãe,ensino fundamental completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
